tt,frame,wheels,flat,climb,frame_level,wheels_level
False,Cervelo S5 2020,DT Swiss ARC 1100 Dicut Disc,3017.0,2958.0,36.0,42.0
False,Cervelo S5 2020,Zipp 858/Super9,3024.0,2959.0,36.0,45.0
False,Cervelo S5 2020,Zipp 808/Super9,3026.0,2960.0,36.0,35.0
False,Cervelo S5 2020,Zipp 858,3030.0,2949.0,36.0,37.0
False,Cervelo S5 2020,ENVE SES 7.8,3032.0,2944.0,36.0,39.0
False,Cervelo S5 2020,Zipp 808,3033.0,2951.0,36.0,13.0
False,Cervelo S5 2020,ENVE SES 8.9,3033.5,2953.5,36.0,31.0
False,Cervelo S5 2020,Zipp 454,3041.0,2942.0,36.0,24.0
False,Cervelo S5 2020,DT Swiss ARC 1100 Dicut 62,3042.0,2940.0,36.0,6.0
False,Cervelo S5 2020,CADEX 65,3042.5,2942.0,36.0,21.0
False,Cervelo S5 2020,Zipp 404,3044.0,2945.0,36.0,15.0
False,Cervelo S5 2020,ENVE SES 6.7,3045.0,2949.0,36.0,25.0
False,Cervelo S5 2020,Zipp 353 NSW,3046.0,2942.0,36.0,19.0
False,Cervelo S5 2020,Roval Rapide CLX,3047.0,2944.0,36.0,15.0
False,Cervelo S5 2020,Roval CLX 64,3047.0,2949.0,36.0,16.0
False,Cervelo S5 2020,ENVE SES 3.4,3049.5,2941.0,36.0,27.0
False,Cervelo S5 2020,FFWD RYOT55,3050.5,2941.0,36.0,
False,Cervelo S5 2020,Campagnolo Bora Ultra 35,3051.0,2942.5,36.0,33.0
False,Cervelo S5 2020,Mavic Comete Pro Carbon SL UST,3051.5,2959.5,36.0,13.0
False,Cervelo S5 2020,Giant SLR 0,3054.0,2941.5,36.0,22.0
False,Cervelo S5 2020,Shimano C60,3054.0,2960.0,36.0,10.0
False,Cervelo S5 2020,Mavic Cosmic CXR60c,3055.5,2957.5,36.0,7.0
False,Cervelo S5 2020,Bontrager Aeolus5,3058.0,2945.0,36.0,11.0
False,Cervelo S5 2020,Mavic Cosmic Ultimate UST,3058.0,2955.0,36.0,6.0
False,Cervelo S5 2020,HED Vanquish RC6 Pro,3060.5,2943.0,36.0,8.0
False,Cervelo S5 2020,CADEX 42,3061.0,2943.0,36.0,8.0
False,Cervelo S5 2020,Roval Alpinist CLX,3063.0,2935.0,36.0,32.0
False,Cervelo S5 2020,Shimano C50,3063.0,2956.5,36.0,4.0
False,Cervelo S5 2020,Lightweight Meilenstein,3063.5,2935.0,36.0,0.0
False,Cervelo S5 2020,50mm Carbon,3064.5,2950.0,36.0,9.0
False,Cervelo S5 2020,Shimano C40,3065.0,2952.5,36.0,4.0
False,Cervelo S5 2020,CADEX 36,3070.5,2940.5,36.0,26.0
False,Cervelo S5 2020,Zipp 202,3072.0,2943.5,36.0,
False,Cervelo S5 2020,Novatec R4,3073.5,2954.0,36.0,
False,Cervelo S5 2020,ENVE SES 2.2,3077.0,2942.5,36.0,
False,Cervelo S5 2020,Zwift 32mm Carbon,3077.0,2949.0,36.0,3.0
False,Cervelo S5 2020,Campagnolo Bora Ultra 50,3077.5,2942.5,36.0,12.0
False,Cervelo S5 2020,Zwift Safety,3077.5,2948.5,36.0,44.0
False,Cervelo S5 2020,Zwift Buffalo Fahrrad,3082.0,2956.0,36.0,
False,Cervelo S5 2020,Zwift Classic,3083.0,2957.0,36.0,1.0
False,Felt AR,DT Swiss ARC 1100 Dicut Disc,3017.0,2955.0,16.0,42.0
False,Felt AR,Zipp 858/Super9,3024.0,2956.0,16.0,45.0
False,Felt AR,Zipp 808/Super9,3026.0,2957.0,16.0,35.0
False,Felt AR,Zipp 858,3030.0,2946.0,16.0,37.0
False,Felt AR,ENVE SES 7.8,3032.0,2941.0,16.0,39.0
False,Felt AR,Zipp 808,3033.0,2948.0,16.0,13.0
False,Felt AR,ENVE SES 8.9,3033.5,2950.5,16.0,31.0
False,Felt AR,Zipp 454,3041.0,2939.0,16.0,24.0
False,Felt AR,DT Swiss ARC 1100 Dicut 62,3042.0,2937.0,16.0,6.0
False,Felt AR,CADEX 65,3042.5,2939.0,16.0,21.0
False,Felt AR,Zipp 404,3044.0,2942.0,16.0,15.0
False,Felt AR,ENVE SES 6.7,3045.0,2946.0,16.0,25.0
False,Felt AR,Zipp 353 NSW,3046.0,2939.0,16.0,19.0
False,Felt AR,Roval Rapide CLX,3047.0,2941.0,16.0,15.0
False,Felt AR,Roval CLX 64,3047.0,2946.0,16.0,16.0
False,Felt AR,ENVE SES 3.4,3049.5,2938.0,16.0,27.0
False,Felt AR,FFWD RYOT55,3050.5,2938.0,16.0,
False,Felt AR,Campagnolo Bora Ultra 35,3051.0,2939.5,16.0,33.0
False,Felt AR,Mavic Comete Pro Carbon SL UST,3051.5,2956.5,16.0,13.0
False,Felt AR,Giant SLR 0,3054.0,2938.5,16.0,22.0
False,Felt AR,Shimano C60,3054.0,2957.0,16.0,10.0
False,Felt AR,Mavic Cosmic CXR60c,3055.5,2954.5,16.0,7.0
False,Felt AR,Bontrager Aeolus5,3058.0,2942.0,16.0,11.0
False,Felt AR,Mavic Cosmic Ultimate UST,3058.0,2952.0,16.0,6.0
False,Felt AR,HED Vanquish RC6 Pro,3060.5,2940.0,16.0,8.0
False,Felt AR,CADEX 42,3061.0,2940.0,16.0,8.0
False,Felt AR,Roval Alpinist CLX,3063.0,2932.0,16.0,32.0
False,Felt AR,Shimano C50,3063.0,2953.5,16.0,4.0
False,Felt AR,Lightweight Meilenstein,3063.5,2932.0,16.0,0.0
False,Felt AR,50mm Carbon,3064.5,2947.0,16.0,9.0
False,Felt AR,Shimano C40,3065.0,2949.5,16.0,4.0
False,Felt AR,CADEX 36,3070.5,2937.5,16.0,26.0
False,Felt AR,Zipp 202,3072.0,2940.5,16.0,
False,Felt AR,Novatec R4,3073.5,2951.0,16.0,
False,Felt AR,ENVE SES 2.2,3077.0,2939.5,16.0,
False,Felt AR,Zwift 32mm Carbon,3077.0,2946.0,16.0,3.0
False,Felt AR,Campagnolo Bora Ultra 50,3077.5,2939.5,16.0,12.0
False,Felt AR,Zwift Safety,3077.5,2945.5,16.0,44.0
False,Felt AR,Zwift Buffalo Fahrrad,3082.0,2953.0,16.0,
False,Felt AR,Zwift Classic,3083.0,2954.0,16.0,1.0
False,Specialized Venge S-Works,DT Swiss ARC 1100 Dicut Disc,3017.0,2955.0,37.0,42.0
False,Specialized Venge S-Works,Zipp 858/Super9,3024.0,2956.0,37.0,45.0
False,Specialized Venge S-Works,Zipp 808/Super9,3026.0,2957.0,37.0,35.0
False,Specialized Venge S-Works,Zipp 858,3030.0,2946.0,37.0,37.0
False,Specialized Venge S-Works,ENVE SES 7.8,3032.0,2941.0,37.0,39.0
False,Specialized Venge S-Works,Zipp 808,3033.0,2948.0,37.0,13.0
False,Specialized Venge S-Works,ENVE SES 8.9,3033.5,2950.5,37.0,31.0
False,Specialized Venge S-Works,Zipp 454,3041.0,2939.0,37.0,24.0
False,Specialized Venge S-Works,DT Swiss ARC 1100 Dicut 62,3042.0,2937.0,37.0,6.0
False,Specialized Venge S-Works,CADEX 65,3042.5,2939.0,37.0,21.0
False,Specialized Venge S-Works,Zipp 404,3044.0,2942.0,37.0,15.0
False,Specialized Venge S-Works,ENVE SES 6.7,3045.0,2946.0,37.0,25.0
False,Specialized Venge S-Works,Zipp 353 NSW,3046.0,2939.0,37.0,19.0
False,Specialized Venge S-Works,Roval Rapide CLX,3047.0,2941.0,37.0,15.0
False,Specialized Venge S-Works,Roval CLX 64,3047.0,2946.0,37.0,16.0
False,Specialized Venge S-Works,ENVE SES 3.4,3049.5,2938.0,37.0,27.0
False,Specialized Venge S-Works,FFWD RYOT55,3050.5,2938.0,37.0,
False,Specialized Venge S-Works,Campagnolo Bora Ultra 35,3051.0,2939.5,37.0,33.0
False,Specialized Venge S-Works,Mavic Comete Pro Carbon SL UST,3051.5,2956.5,37.0,13.0
False,Specialized Venge S-Works,Giant SLR 0,3054.0,2938.5,37.0,22.0
False,Specialized Venge S-Works,Shimano C60,3054.0,2957.0,37.0,10.0
False,Specialized Venge S-Works,Mavic Cosmic CXR60c,3055.5,2954.5,37.0,7.0
False,Specialized Venge S-Works,Bontrager Aeolus5,3058.0,2942.0,37.0,11.0
False,Specialized Venge S-Works,Mavic Cosmic Ultimate UST,3058.0,2952.0,37.0,6.0
False,Specialized Venge S-Works,HED Vanquish RC6 Pro,3060.5,2940.0,37.0,8.0
False,Specialized Venge S-Works,CADEX 42,3061.0,2940.0,37.0,8.0
False,Specialized Venge S-Works,Roval Alpinist CLX,3063.0,2932.0,37.0,32.0
False,Specialized Venge S-Works,Shimano C50,3063.0,2953.5,37.0,4.0
False,Specialized Venge S-Works,Lightweight Meilenstein,3063.5,2932.0,37.0,0.0
False,Specialized Venge S-Works,50mm Carbon,3064.5,2947.0,37.0,9.0
False,Specialized Venge S-Works,Shimano C40,3065.0,2949.5,37.0,4.0
False,Specialized Venge S-Works,CADEX 36,3070.5,2937.5,37.0,26.0
False,Specialized Venge S-Works,Zipp 202,3072.0,2940.5,37.0,
False,Specialized Venge S-Works,Novatec R4,3073.5,2951.0,37.0,
False,Specialized Venge S-Works,ENVE SES 2.2,3077.0,2939.5,37.0,
False,Specialized Venge S-Works,Zwift 32mm Carbon,3077.0,2946.0,37.0,3.0
False,Specialized Venge S-Works,Campagnolo Bora Ultra 50,3077.5,2939.5,37.0,12.0
False,Specialized Venge S-Works,Zwift Safety,3077.5,2945.5,37.0,44.0
False,Specialized Venge S-Works,Zwift Buffalo Fahrrad,3082.0,2953.0,37.0,
False,Specialized Venge S-Works,Zwift Classic,3083.0,2954.0,37.0,1.0
False,Uranium Nuclear,DT Swiss ARC 1100 Dicut Disc,3017.0,2958.0,31.0,42.0
False,Uranium Nuclear,Zipp 858/Super9,3024.0,2959.0,31.0,45.0
False,Uranium Nuclear,Zipp 808/Super9,3026.0,2960.0,31.0,35.0
False,Uranium Nuclear,Zipp 858,3030.0,2949.0,31.0,37.0
False,Uranium Nuclear,ENVE SES 7.8,3032.0,2944.0,31.0,39.0
False,Uranium Nuclear,Zipp 808,3033.0,2951.0,31.0,13.0
False,Uranium Nuclear,ENVE SES 8.9,3033.5,2953.5,31.0,31.0
False,Uranium Nuclear,Zipp 454,3041.0,2942.0,31.0,24.0
False,Uranium Nuclear,DT Swiss ARC 1100 Dicut 62,3042.0,2940.0,31.0,6.0
False,Uranium Nuclear,CADEX 65,3042.5,2942.0,31.0,21.0
False,Uranium Nuclear,Zipp 404,3044.0,2945.0,31.0,15.0
False,Uranium Nuclear,ENVE SES 6.7,3045.0,2949.0,31.0,25.0
False,Uranium Nuclear,Zipp 353 NSW,3046.0,2942.0,31.0,19.0
